LAT,LON,MINOR
2.609779572,56.89192753,3.695957016
3.284475469,57.19445378,1.961440647
3.85970909,57.34730393,3.5152885
4.492521207,57.16287065,1.817247109
3.891979184,57.53219087,1.762196599
4.589165822,56.54858904,2.288942729
4.915774389,56.49960804,2.322687365
4.29535017,55.96756044,2.900673335
3.774067538,55.9409214,2.258360317
3.382815624,55.62194396,2.046062946
1.515550214,54.72034469,4.619796992
3.054137296,54.54917879,2.403179081
3.299407759,54.14812435,2.810213133
3.520318663,54.02928434,1.645303994
5.072381285,55.11142749,2.115304214
4.922710384,54.86138877,1.266991718
4.176715693,55.27348704,1.377596037
1.633662836,55.10988621,1.564462599
1.509300426,55.01859134,1.565680323
2.976490358,52.83848769,2.302416517
2.936884949,52.54986643,2.899585659
2.726055838,53.13718825,1.87175294
1.998415294,53.47923981,2.600250696
1.195728291,53.1584421,1.859210251
4.710369764,51.91285717,2.018440177
4.696257935,51.70985423,2.409190023
4.168784993,51.25085864,4.145246094
4.544870566,51.08263627,4.283066037
4.506022111,50.42720032,3.182990591
4.164557932,51.53235997,2.347688616
2.891989864,51.27733609,2.202125366
2.40260668,50.84148002,1.955569326
2.403763344,50.75994412,2.077282474
3.18808812,50.75302939,2.486607228
3.175156647,50.61915727,2.112535802
3.107445453,53.41128542,1.554583481
2.942479252,53.66516798,1.002539409
3.819687198,50.4843413,1.50898407
4.332391777,50.70223704,1.577215575
2.335780443,51.56607943,1.677496098
5.170129711,50.15443449,1.276994832
4.430397047,49.66081222,2.192469136
4.535403158,49.22211021,1.949949442
3.710062015,49.07534969,2.702321909
2.091084987,49.39541578,3.926431239
2.661402728,50.02145806,1.874349628
4.252198538,50.10171994,2.135649218
3.070321168,48.55105405,1.780765044
2.924224615,47.78532323,3.299450675
2.746531913,48.02197716,2.233569019
3.302232451,47.45245906,4.491128388
3.496315321,47.24090023,2.003156715
3.693629293,46.00831772,1.714306235
4.017452431,45.8871026,2.352765126
3.702702584,46.42389198,1.572096949
1.834485482,45.94184381,2.522969606
2.595653765,46.9712304,1.4203368
3.821288763,43.86805187,6.340821723
4.618381687,44.37801956,1.748790006
5.18677346,45.28351883,1.675576434
2.577674344,44.28983823,2.323334332
1.822865197,43.91567542,2.208893506
3.663254188,43.13263487,1.9127075
3.331428957,42.86603514,1.446092751
3.499353697,42.3755818,2.28057336
3.324885724,42.13386293,2.942277671
3.291053619,41.86034399,2.144566284
2.798329049,42.48724546,1.73315936
4.361944262,42.32862032,1.196609524
3.670055239,40.08416679,2.346822431
1.68383904,40.3104844,2.78151119
2.197614329,41.04457257,2.046976841
1.778394229,40.73914392,1.844648078
1.583645905,43.60172261,1.4430547
1.693070923,43.16456766,1.782779722
2.093183056,39.22209872,2.338494099
0.953200196,38.92085343,1.976341388
0.073431282,38.24670773,2.057027961
-0.311817914,38.47962622,2.095346418
-0.322685996,39.14307541,2.687242966
-0.964354398,39.35434381,9.046561969
0.687686751,39.71904635,6.345724253
0.734269138,39.15774463,2.468992475
0.207355763,39.33756252,2.05328655
0.490014086,41.41829988,1.491227756
0.081749204,41.24060532,1.859934693
-0.201516549,40.55204112,1.513131684
-0.888363633,40.17871874,2.459279067
-0.755636353,40.7677873,1.296989751
-0.981206064,40.83274336,1.668943912
-0.923181009,41.66942539,1.563551143
-1.098284392,41.88769393,3.088315112
-0.292528897,41.90504614,6.965378547
-0.050358013,41.68748599,2.033319231
-0.215990983,41.20560548,1.657922346
0.653651698,42.60160232,1.835738724
-1.938570008,38.87021789,1.889873601
-2.241854908,38.60607066,1.886807815
-1.794433916,38.60442468,1.550926587
-2.047687954,38.31584759,1.61879011
-2.492213128,41.54409349,4.575759283
0.323974441,43.30200101,1.435025536
0.73667648,43.88753892,5.210239159
0.89477589,44.4913138,3.941174978
0.15461962,44.29280949,2.031865526
