Diameter,Latitude,Longitude (West),Axial Ratio,Degradation,Geol. Unit,Note
9.47,-8.27,282.69,1.00,,ST,
9.47,29.65,40.33,1.28,,ICT,
9.47,48.13,160.15,1.16,,DCT2,
9.47,-22.12,259.83,1.13,,ICT,
9.46,-37.77,264.11,1.03,,ICT,
9.46,30.37,219.92,1.15,,FBT,
9.46,10.39,16.86,1.04,,ICT,
9.46,-62.94,24.34,1.01,,ICT,
9.46,40.02,254.97,,3,FBT,
9.46,6.03,221.17,1.14,,ICT,
9.45,2.75,44.19,1.00,,ICT,
9.45,-18.68,113.93,1.08,,ST,
9.45,-29.98,325.52,1.00,,FBT,
9.45,-1.51,254.26,1.21,,ICT,
9.45,40.19,171.17,1.09,,DCT2,
9.45,6.52,162.25,1.06,,ICT,
9.44,55.27,57.76,,3 ellipse,ICT,
9.44,3.94,249.50,1.05,,FBT,
9.44,5.33,144.54,1.10,,ST,
9.44,-3.85,189.32,1.13,,ICT,
9.43,36.48,52.57,1.09,,ICT,
9.43,54.49,106.19,,2,ST,
9.43,69.51,158.60,,3 ellipse,DCT1,
9.43,12.35,323.94,1.10,,FBT,
9.43,50.91,87.85,,secondary 3,ST,
9.42,21.83,258.05,1.04,,ICT,
9.42,-9.50,246.58,1.04,,ICT,
9.42,62.24,148.11,,3,DCT1,
9.41,39.69,41.23,1.15,,ICT,
9.41,31.49,50.49,1.04,,ICT,
9.41,-44.12,102.31,,2,ET,
9.41,-13.01,49.26,1.00,,ST,
9.41,-33.69,227.73,,4,ICT,
9.41,3.38,162.67,1.01,,ICT,
9.40,34.19,163.75,1.00,,DCT2,
9.40,-28.41,151.40,1.01,,ET,
9.40,-24.33,289.02,1.00,,FBT,
9.39,-51.14,352.50,1.00,,ICT,
9.39,53.74,178.51,1.01,,DCT2,
9.39,43.17,47.94,1.00,,ICT,
9.39,56.41,173.51,,3,DCT2,
9.39,27.67,169.58,1.00,,DCT2,
9.39,-2.65,353.23,1.02,,ICT,
9.38,38.57,314.47,1.14,,ICT,
9.38,67.77,170.93,,3,DCT1,
9.38,26.57,87.90,,3,ST,
9.38,43.03,265.37,1.07,,FBT,
9.38,55.83,149.03,,3,DCT1,
9.38,-23.77,239.67,1.23,,ICT,
9.38,-4.21,286.78,1.08,,FBT,
9.37,57.35,151.21,,3,DCT1,
9.37,76.47,172.85,,3,DCT1,
9.37,-12.71,338.56,1.06,,ICT,
9.37,-6.77,215.52,1.02,,FBT,
9.37,46.00,117.34,,3 ellipse,ST,
9.36,-3.76,161.08,1.04,,ICT,
9.36,13.89,125.73,1.13,,ST,
9.36,-33.22,41.56,1.05,,ICT,
9.36,45.44,21.59,1.10,,ICT,
9.36,8.63,262.88,1.02,,ICT,
9.35,-16.25,254.48,1.16,,ICT,
9.35,-16.20,187.01,1.03,,ICT,
9.35,-15.42,103.39,1.28,,ST,
9.35,29.26,321.51,1.01,,ICT,
9.35,-27.26,89.44,1.03,,ST,
9.35,-46.26,42.91,1.00,,ICT,
9.35,-3.21,336.85,1.01,,ICT,
9.34,16.78,28.27,1.16,,ICT,
9.34,2.35,180.57,1.00,,ICT,
9.34,8.93,313.09,1.00,,FBT,
9.34,7.39,42.40,1.03,,ICT,
9.34,33.95,244.92,1.16,,FBT,
9.34,56.34,103.97,,4,ST,
9.34,-4.71,229.73,1.17,,FBT,
9.34,35.22,168.16,1.06,,DCT2,
9.34,-65.29,350.06,1.25,,ICT,
9.34,57.79,98.69,,3 ellipse,ST,
9.34,45.76,214.19,1.06,,FBT,
9.33,40.13,336.03,1.04,,ICT,
9.33,-3.49,157.82,1.00,,ICT,
9.33,49.70,138.81,1.06,,DCT1,
9.33,10.68,287.81,1.07,,FBT,
9.33,10.47,232.10,1.06,,FBT,
9.33,-38.28,219.32,1.03,,ICT,
9.32,54.05,82.72,,2,ST,
9.32,-26.45,193.48,1.06,,ICT,
9.32,65.28,157.77,,3,DCT1,
9.32,-6.82,137.99,1.21,,ST,
9.32,27.93,353.11,1.18,,ICT,
9.32,-42.69,327.10,1.03,,FBT,
9.31,-17.22,333.51,1.00,,ICT,
9.31,-4.71,298.21,1.14,,FBT,
9.31,41.98,302.11,1.04,,FBT,
9.31,30.99,334.33,1.06,,ICT,
9.31,-2.78,247.75,1.25,,ICT,
9.31,44.26,344.14,1.07,,ICT,
9.31,36.70,329.56,1.00,,ICT,
9.30,46.18,51.09,1.02,,ICT,
9.30,21.96,228.06,1.01,,FBT,
9.30,65.34,21.20,1.01,,ICT,
9.30,13.18,238.29,1.12,,FBT,
9.30,84.37,159.63,,2,DCT1,
9.30,6.10,48.24,1.03,,ICT,
9.30,-26.57,285.37,1.01,,FBT,
9.30,52.33,84.24,,2,ST,
9.30,42.67,28.12,1.33,,ICT,
9.29,-46.52,206.49,1.00,,ICT,
9.29,10.48,249.27,1.02,,FBT,
9.29,32.60,354.29,1.02,,ICT,
9.28,56.87,51.55,1.06,,ICT,
9.28,-33.58,310.23,1.00,,FBT,
9.28,13.18,273.13,1.06,,FBT,
9.28,-23.50,225.32,1.10,,FBT,
9.28,30.21,34.83,1.03,,ICT,
9.27,-30.99,188.58,1.04,,ICT,
9.27,-28.79,241.72,1.20,,ICT,
9.27,7.15,212.61,1.17,,ICT,
9.27,-50.83,30.59,1.00,,ICT,
9.27,-26.19,250.32,1.02,,ICT,
9.27,-47.97,40.82,1.00,,ICT,
9.27,-46.13,204.19,1.00,,ICT,
9.27,14.78,48.61,1.08,,ICT,
9.27,41.62,337.35,1.03,,ICT,
9.27,3.34,48.55,1.04,,ICT,
9.26,-2.21,320.57,1.02,,FBT,
9.26,-2.12,71.82,1.12,,ST,
9.26,50.05,23.04,1.06,,ICT,
9.26,4.66,147.47,1.00,,ST,
9.26,43.57,96.28,,3 ellipse,ST,
9.25,11.80,128.95,1.21,,ST,
9.24,0.43,357.44,1.19,,ICT,
9.24,15.04,195.02,1.00,,ICT,
9.24,42.60,147.55,1.21,,DCT2,
9.24,-21.46,193.40,1.00,,ICT,
9.24,58.00,24.96,1.00,,ICT,
9.24,38.51,250.69,1.17,,FBT,
9.23,3.07,148.50,1.00,,ICT,
9.23,-40.24,326.17,1.04,,FBT,
9.23,-23.22,121.70,1.14,,ET,
9.23,21.41,148.92,1.04,,ICT,
9.23,24.77,4.01,1.12,,ICT,
9.22,-14.51,153.79,1.01,,ICT,
9.22,39.33,132.91,1.03,,ST,
9.22,-2.97,39.59,1.02,,ICT,
9.22,41.92,168.96,1.12,,DCT2,
9.22,20.74,215.80,1.07,,ICT,
9.22,27.42,94.03,,2 ellipse,ST,
9.22,66.02,216.54,,3 ellipse,DCT2,
9.22,8.33,234.91,1.05,,FBT,
9.22,49.28,183.50,1.08,,DCT2,
9.21,28.92,12.11,1.10,,ICT,
9.21,33.36,83.14,,2,ST,
9.21,39.51,11.78,1.00,,ICT,
9.21,23.30,6.52,1.08,,ICT,
9.21,-37.26,119.16,1.06,,ET,
9.20,26.31,329.91,1.00,,ICT,
9.20,-20.98,52.91,1.00,,ST,
9.20,47.32,329.83,1.36,,ICT,
9.20,46.20,165.75,1.07,,DCT2,
9.20,-56.29,15.13,1.14,,ICT,
9.20,43.18,146.40,1.07,,DCT2,
9.19,9.65,232.70,1.32,,FBT,
9.19,64.93,194.48,,4,DCT2,
9.19,27.69,48.12,1.14,,ICT,
9.19,56.81,89.29,,1,ST,
9.18,-6.77,160.40,1.05,,ICT,
9.18,-28.71,150.28,1.03,,ET,
9.17,44.23,279.13,1.01,,FBT,
9.17,13.96,131.01,1.14,,ST,
9.17,51.71,321.21,1.06,,ICT,
9.17,-41.68,324.97,1.01,,FBT,
9.17,-14.68,308.53,1.17,,FBT,
9.16,53.96,53.76,1.11,,ICT,
9.16,-20.04,168.22,1.02,,ICT,
9.16,11.06,82.86,1.00,,ST,
9.16,26.35,352.79,1.23,,ICT,
9.16,57.39,72.74,,3,ST,
9.15,-43.06,19.07,1.01,,ICT,
9.15,16.94,128.27,1.00,,ST,
9.15,28.86,210.72,1.01,,DCT2,
9.15,58.96,220.30,,4,DCT2,
9.15,41.48,135.48,1.03,,ST,
9.14,37.52,189.43,1.12,,DCT2,
9.14,-29.62,233.40,,3 ellipse,ICT,
9.13,60.01,154.03,,2,DCT1,
9.13,35.81,49.29,1.00,,ICT,
9.13,63.25,196.99,,3,DCT2,
9.13,31.64,258.20,1.10,,FBT,
9.13,-55.32,339.11,1.00,,ICT,
9.13,-33.96,220.36,1.00,,ICT,
9.12,60.04,26.24,1.31,,ICT,
9.12,17.88,172.96,1.00,,ICT,
9.12,32.25,133.89,1.02,,ST,
9.12,25.31,301.66,1.11,,FBT,
9.11,-56.49,351.06,1.05,,ICT,
9.11,-19.86,14.55,1.09,,RBT,
9.11,14.23,251.28,1.05,,ICT,
9.11,55.13,143.97,,3,DCT1,
9.10,41.63,292.21,1.02,,FBT,
9.10,-5.59,143.10,1.01,,ST,
9.10,28.81,252.54,1.07,,FBT,
9.10,12.38,66.27,1.25,,ST,
9.10,-47.85,305.33,1.01,,FBT,
9.10,54.26,97.21,,3,ST,
9.10,-23.90,57.25,1.00,,ST,
9.10,-8.26,62.77,1.00,,ST,
9.10,-17.16,323.80,1.04,,ICT,
9.10,-47.60,220.00,1.04,,ICT,
9.10,69.68,199.75,,4,DCT2,
9.10,59.70,149.32,,3,DCT1,
9.09,-51.83,339.63,1.05,,ICT,
9.09,66.42,48.98,,2,ICT,
9.09,10.77,211.00,1.03,,ICT,
9.09,-28.44,257.81,1.01,,ICT,
9.09,-30.13,291.71,1.02,,FBT,
9.08,65.90,223.23,,3,DCT2,
9.08,-40.14,349.24,1.00,,ICT,
9.08,-43.65,333.88,1.00,,FBT,
9.07,-58.59,352.37,1.18,,ICT,
9.07,23.48,141.45,1.01,,ST,
9.07,20.10,72.99,1.05,,ST,
9.07,25.10,93.24,,3,ST,
9.07,9.78,25.23,1.00,,ICT,
9.06,7.35,227.21,1.12,,FBT,
9.06,-61.89,302.03,1.00,,FBT,
9.06,43.84,107.67,,3 ellipse,ST,
9.05,-56.61,56.49,1.00,,ST,
9.05,-0.60,135.01,1.11,,ST,
9.05,-16.28,251.76,1.02,,ICT,
9.05,25.40,296.68,1.01,,FBT,
9.05,-16.47,41.03,1.21,,ICT,
9.04,50.86,59.63,1.13,,ICT,
9.04,-39.34,200.24,1.02,,ICT,
9.03,24.81,44.12,1.14,,ICT,
9.03,61.75,53.03,,3,ICT,
9.03,-22.46,273.84,1.00,,FBT,
9.03,65.33,221.32,,3,DCT2,
9.03,-0.59,325.98,1.03,,FBT,
9.03,-19.86,160.25,1.00,,ICT,
9.02,23.36,326.21,1.00,,ICT,
9.02,73.55,221.19,,3 ellipse,DCT2,
9.02,9.41,287.51,1.02,,FBT,
9.01,53.90,17.64,1.10,,ICT,
9.01,-24.26,350.27,1.05,,ICT,
9.01,25.26,326.76,1.11,,ICT,
9.01,-4.96,185.21,1.00,,ICT,
9.01,14.36,0.05,1.04,,ICT,
9.01,33.99,356.94,1.14,,ICT,
9.01,-13.93,157.98,1.03,,ICT,
9.00,-17.30,51.23,1.00,,ST,
9.00,66.10,353.92,,3 ellipse,ICT,
9.00,3.67,26.40,1.04,,ICT,
9.00,-6.63,122.81,1.18,,ST,
9.00,-33.15,126.75,1.02,,ET,
8.99,1.32,162.53,1.00,,ICT,
8.99,13.98,19.11,1.00,,ST,
8.99,-8.30,121.83,1.00,,ICT,
8.98,13.83,144.11,1.08,,ST,
8.98,53.50,41.94,1.36,,ICT,
8.98,-63.81,319.02,1.38,,FBT,
8.98,54.37,162.46,1.01,,DCT1,
8.98,26.36,113.93,1.08,,ST,
8.98,13.92,263.43,1.04,,ICT,
8.97,43.93,127.01,1.02,,ST,
8.97,9.09,151.76,1.05,,ICT,
8.97,32.65,195.66,1.03,,DCT2,
8.96,-17.00,4.80,1.00,,RBT,
8.96,-16.10,44.81,1.01,,ICT,
8.96,34.56,142.53,1.00,,ICT,
8.96,50.50,50.52,1.00,,ICT,
8.96,30.32,325.35,1.27,,ICT,
8.96,21.56,160.89,1.02,,DCT2,
8.96,8.52,271.15,1.14,,FBT,
8.95,53.19,17.91,1.00,,ICT,
8.95,-18.28,65.67,1.20,,ST,
8.95,-69.24,68.18,1.17,,ST,
8.95,21.14,136.13,1.02,,ST,
8.95,-0.82,355.30,1.02,,ICT,
8.94,57.41,11.61,1.00,,ICT,
8.94,60.59,208.46,,3,DCT2,
8.94,15.16,266.70,1.02,,FBT,
8.94,35.44,18.34,1.02,,ICT,
8.94,29.86,101.05,,2,ST,
8.93,49.44,316.32,1.02,,ICT,
8.93,32.91,281.53,1.01,,FBT,
8.93,12.50,249.61,1.09,,FBT,
8.93,29.28,173.21,1.00,,DCT2,
8.93,12.53,14.41,1.10,,ICT,
8.92,-21.19,259.45,1.09,,ICT,
8.92,43.44,27.43,1.16,,ICT,
8.92,67.69,146.22,,3,DCT1,
8.92,30.96,158.93,1.05,,DCT2,
8.92,82.95,171.98,,4,DCT1,
8.92,40.49,176.31,1.03,,DCT2,
8.92,-38.07,81.92,1.00,,ST,
8.91,21.12,100.09,1.19,,ST,
8.91,29.91,324.01,1.00,,ICT,
8.91,-10.17,157.90,1.00,,ICT,
8.91,-38.74,245.78,1.10,,ICT,
8.91,22.41,178.13,1.05,,ICT,
8.91,22.67,24.39,1.07,,ICT,
8.91,17.61,216.34,1.07,,ICT,
8.91,35.31,321.64,1.00,,ICT,
8.90,67.99,188.91,,3 ellipse,DCT2,
8.90,39.68,2.38,1.28,,ICT,
8.90,-68.38,349.91,1.03,,ICT,
8.90,4.52,56.38,1.00,,ST,
8.90,14.20,237.50,1.24,,FBT,
8.90,-34.54,325.99,1.00,,FBT,
8.90,-20.85,233.40,,3,ICT,
8.89,-27.60,33.83,1.29,,ICT,
8.89,33.05,95.65,,3,ST,
8.89,-12.73,321.36,1.00,,ICT,
8.89,23.32,197.01,1.04,,DCT2,
8.89,24.23,120.98,1.16,,ST,
8.89,16.70,249.05,1.04,,ICT,
8.88,27.81,45.25,1.36,,ICT,
8.88,17.72,212.07,1.04,,ICT,
8.88,-15.06,184.63,1.00,,ICT,
8.88,-1.14,200.76,1.17,,ICT,
8.88,30.52,172.92,1.05,,DCT2,
8.87,29.28,46.37,1.09,,ICT,
8.87,-27.96,9.39,1.00,,RBT,
8.86,-46.63,349.38,1.00,,ICT,
8.86,-29.39,144.70,1.02,,ET,
8.86,71.47,207.98,,3 ellipse,DCT2,
8.86,53.49,16.40,1.15,,ICT,
8.86,34.63,198.26,1.05,,DCT2,
8.86,-14.46,325.67,1.14,,ICT,
8.86,-17.72,258.06,1.11,,ICT,
8.85,63.79,190.76,,3,DCT2,
8.85,39.46,333.82,1.18,,ICT,
8.85,-6.69,246.98,1.01,,ICT,
8.84,22.12,85.92,,secondary 3,ST,
8.84,51.78,178.95,1.04,,DCT2,
8.84,6.37,239.94,1.60,,FBT,
8.84,-56.56,319.21,1.01,,FBT,
8.84,-16.59,187.89,1.01,,ICT,
8.83,26.94,138.70,1.16,,ST,
8.83,-33.82,312.81,1.11,,FBT,
8.83,-34.28,168.29,,2,ICT,
8.83,-12.85,245.33,1.02,,ICT,
8.83,-52.74,352.47,1.10,,ICT,
8.83,-30.14,220.99,1.16,,FBT,
8.83,16.94,267.06,1.20,,FBT,
8.82,-35.36,281.47,1.17,,FBT,
8.82,-32.87,314.98,1.05,,FBT,
8.82,3.08,162.41,1.15,,ICT,
8.82,38.68,309.11,1.00,,ICT,
8.82,-21.42,241.66,1.08,,ICT,
8.82,-41.21,213.27,1.10,,ICT,
8.82,-10.03,52.70,1.13,,ST,
8.82,-10.32,260.43,1.04,,ICT,
8.82,4.27,212.08,1.01,,ICT,
8.82,-14.01,277.45,1.00,,FBT,
8.81,12.55,173.66,1.03,,ICT,
8.81,-32.43,249.26,1.03,,ICT,
8.81,18.04,324.04,1.00,,FBT,
8.81,38.31,172.42,1.10,,DCT2,
8.81,35.42,91.57,,2,ST,
8.81,34.41,139.42,1.30,,ST,
8.81,-22.56,195.10,1.00,,ICT,
8.80,72.70,159.34,,3,DCT1,
8.80,-27.96,40.89,1.00,,ICT,
8.80,-33.18,199.23,1.04,,ICT,
8.80,37.58,115.88,1.33,,ST,
8.80,22.58,359.04,1.12,,ICT,
8.80,-16.59,199.66,1.11,,ICT,
8.79,-62.99,66.12,1.00,,ST,
8.79,31.17,326.01,1.03,,ICT,
8.79,-41.43,58.20,1.18,,ST,
8.79,35.71,198.09,1.18,,DCT2,
8.79,32.95,26.42,1.03,,ICT,
8.79,9.89,269.60,1.08,,FBT,
8.79,41.58,154.26,1.11,,DCT2,
8.79,51.35,18.10,1.00,,ICT,
8.78,53.76,265.78,1.05,,FBT,
8.78,30.48,320.21,1.00,,ICT,
8.78,-22.65,197.75,1.01,,ICT,
8.78,-3.03,252.32,1.12,,ICT,
8.78,-2.87,352.34,1.00,,ICT,
8.78,73.09,177.22,,3,DCT1,
8.77,65.90,134.03,,2,DCT1,
8.77,-0.40,168.86,1.00,,ICT,
8.77,29.54,33.81,1.00,,ICT,
8.77,20.78,31.00,1.00,,ICT,
8.77,10.85,28.01,1.00,,ICT,
8.77,-20.69,191.07,1.00,,ICT,
8.77,48.82,268.98,1.02,,FBT,
8.77,17.79,264.97,1.07,,ICT,
8.77,58.70,163.70,,3 ellipse,DCT1,
8.76,37.46,195.70,1.01,,DCT2,
8.76,63.21,110.61,,3,ST,
8.76,49.01,249.46,,,FBT,
8.76,19.59,85.23,,4,ST,
8.76,51.10,214.83,1.09,,FBT,
8.75,-27.02,242.35,1.15,,ICT,
8.75,53.98,104.12,,2,ST,
8.75,14.56,234.01,1.02,,FBT,
8.75,-34.45,323.97,1.12,,FBT,
8.74,30.66,218.46,1.01,,FBT,
8.74,-18.14,87.50,1.00,,ST,
8.74,-37.76,345.44,1.15,,ICT,
8.74,41.75,198.47,1.03,,DCT2,
8.74,7.33,143.74,1.12,,ST,
8.74,63.84,359.73,1.04,,ICT,
8.74,43.96,137.32,1.00,,ST,
8.74,4.34,232.97,1.06,,FBT,
8.74,56.28,62.22,,3,ICT,
8.74,42.99,337.94,1.09,,ICT,
8.74,67.91,158.89,,3,DCT1,
8.73,-5.87,245.93,1.14,,ICT,
8.73,4.87,39.63,1.01,,ICT,
8.73,50.19,149.94,,4,DCT1,
8.73,50.79,110.64,,3,ST,
8.73,-27.37,259.63,1.15,,ICT,
8.73,30.04,177.42,1.08,,DCT2,
8.72,31.70,180.76,1.00,,DCT2,
8.72,31.26,319.15,1.06,,ICT,
8.71,25.44,97.55,,3,ST,
8.71,37.68,164.73,1.04,,DCT2,
8.71,58.62,11.42,1.08,,ICT,
8.71,6.76,7.24,1.00,,ICT,
8.71,19.86,274.27,1.26,,FBT,
8.71,56.78,154.98,,4,DCT1,
8.70,43.72,82.47,,secondary 3,ST,
8.70,28.38,34.58,1.06,,ICT,
8.70,40.81,327.84,1.00,,ICT,
8.69,-13.79,73.82,1.00,,ST,
8.69,11.72,266.25,1.32,,ICT,
8.68,54.70,196.13,1.16,,DCT2,
8.68,-7.92,263.07,1.02,,ICT,
8.68,24.34,246.95,1.02,,FBT,
8.68,44.76,72.00,1.26,,ST,
8.68,30.34,210.91,1.03,,DCT2,
8.68,30.42,160.04,1.17,,DCT2,
8.68,-21.58,48.57,1.07,,ST,
8.67,-42.22,236.64,1.10,,ICT,
8.67,-12.55,188.39,1.18,,ICT,
8.67,-4.33,291.46,1.05,,FBT,
8.67,73.33,163.47,,2 ellipse,DCT1,
8.66,63.55,47.18,,1,ICT,
8.66,0.03,177.68,1.00,,ICT,
8.66,-10.65,202.63,1.08,,FBT,
8.66,45.68,16.85,1.06,,ICT,
8.66,-4.57,342.61,1.01,,ICT,
8.66,-22.23,152.78,1.04,,ICT,
8.66,31.92,325.77,1.02,,ICT,
8.66,53.04,137.24,,2 ellipse,DCT1,
8.66,-18.95,204.44,1.09,,FBT,
8.65,-61.96,62.44,1.00,,ST,
8.65,-1.53,130.49,1.09,,ST,
8.65,17.07,41.22,1.10,,ICT,
8.65,39.64,39.22,1.09,,ICT,
8.65,64.02,159.55,,3 ellipse,DCT1,
8.64,-9.67,113.51,1.31,,ST,
8.64,44.23,177.09,1.46,,DCT2,
8.64,40.02,275.41,1.06,,FBT,
8.64,74.25,173.93,,3,DCT1,
8.64,13.12,47.58,1.01,,ICT,
8.64,-18.25,332.47,1.02,,ICT,
8.63,33.75,86.09,,3,ST,
8.63,31.70,327.65,1.34,,ICT,
8.63,52.52,351.16,1.02,,ICT,
8.63,-62.35,343.68,1.00,,ICT,
8.63,43.20,190.21,1.04,,DCT2,
8.63,63.53,194.89,,4,DCT2,
8.63,-28.69,305.88,1.00,,FBT,
8.62,3.26,159.16,1.00,,ICT,
8.62,37.34,197.27,1.00,,DCT2,
8.62,32.46,31.98,1.16,,ICT,
8.62,32.14,70.24,1.03,,ST,
8.61,-2.51,88.78,1.13,,ST,
8.61,-25.64,315.09,1.13,,FBT,
8.61,-14.87,151.31,1.00,,ICT,
8.61,3.19,214.29,1.00,,ICT,
8.61,-25.07,349.54,1.12,,ICT,
8.61,27.83,71.75,1.08,,ST,
8.61,-16.62,203.68,1.01,,FBT,
8.61,74.16,147.93,,3 ellipse,DCT1,
8.61,-46.18,84.63,1.00,,ET,
8.60,-20.03,192.21,1.05,,ICT,
8.60,9.30,231.56,1.05,,FBT,
8.60,12.81,169.35,1.03,,ICT,
8.60,-19.36,255.25,1.18,,ICT,
8.60,14.41,35.38,1.16,,ICT,
8.59,9.62,317.59,1.06,,FBT,
8.59,-16.86,174.63,1.00,,ICT,
8.59,28.97,131.30,1.04,,ST,
8.59,-22.38,88.59,1.00,,ST,
8.59,-19.19,266.39,1.18,,ICT,
8.59,27.54,200.99,1.20,,DCT2,
8.59,-45.26,12.22,1.02,,ICT,
8.58,-4.08,294.31,1.00,,FBT,
8.58,52.90,307.67,,4,FBT,
8.58,11.73,272.47,1.32,,FBT,
8.58,8.58,267.44,1.21,,FBT,
8.57,0.80,314.11,1.00,,FBT,
8.57,-1.66,138.02,1.00,,ST,
8.57,34.11,78.98,1.11,,ST,
8.56,19.41,239.06,1.16,,FBT,
8.56,50.44,307.49,,4,FBT,
8.56,37.11,346.96,1.16,,ICT,
8.56,43.05,329.86,1.24,,ICT,
8.56,45.27,178.12,1.06,,DCT2,
8.56,10.87,116.44,1.31,,ST,
8.55,37.13,194.64,1.10,,DCT2,
8.55,-13.57,160.98,1.07,,ICT,
8.55,-5.77,162.78,1.08,,ICT,
8.55,24.91,56.93,1.07,,ICT,
8.55,50.03,100.62,,3,ST,
8.55,8.51,295.75,1.00,,FBT,
8.55,42.32,295.89,1.12,,FBT,
8.55,64.49,195.89,,3 ellipse,DCT2,
8.54,38.99,249.40,1.00,,FBT,
8.54,-39.29,253.27,1.05,,ICT,
8.54,35.03,166.10,1.04,,DCT2,
8.54,35.88,354.82,1.18,,ICT,
8.54,-49.47,9.21,1.07,,ICT,
8.54,-45.35,354.97,1.00,,ICT,
8.53,6.18,26.22,1.12,,ICT,
8.53,14.46,270.38,1.34,,FBT,
8.53,-13.45,56.46,1.00,,ST,
8.53,-24.66,155.82,1.17,,ICT,
8.53,9.30,155.13,1.17,,ICT,
8.52,-22.14,208.57,1.03,,FBT,
8.52,51.04,176.95,1.34,,DCT2,
8.52,-58.36,107.36,,1 ellipse,ET,
8.52,-69.36,2.13,1.00,,ICT,
8.51,-62.46,3.22,1.14,,ICT,
8.51,31.89,129.93,1.00,,ST,
8.51,34.89,110.07,1.22,,ST,
8.51,59.20,113.33,,4,ST,
8.51,4.31,113.36,1.29,,ST,
8.51,-4.11,177.37,1.18,,ICT,
8.50,-14.37,249.00,1.06,,ICT,
8.50,18.69,66.13,1.18,,ST,
8.50,56.24,220.84,,4,FBT,
8.50,-38.13,257.30,1.01,,ICT,
8.49,36.07,50.12,1.01,,ICT,
8.49,-23.56,301.98,1.04,,FBT,
8.49,-13.52,179.86,1.09,,ICT,
8.49,36.23,201.45,1.17,,DCT2,
8.49,19.66,310.17,1.00,,ICT,
8.49,-34.51,158.43,1.11,,ET,
8.49,-34.17,193.74,1.00,,ICT,
8.49,77.73,156.66,,3,DCT1,
8.49,68.63,197.40,,4,DCT2,
8.48,38.51,114.23,1.28,,ST,
8.48,-35.85,273.20,1.10,,ICT,
8.48,15.81,100.05,1.04,,ST,
8.48,0.86,260.55,1.16,,ICT,
8.47,-0.94,133.60,1.16,,ST,
8.47,-31.39,67.30,1.00,,ST,
8.47,51.26,184.94,1.03,,DCT2,
8.47,16.88,142.17,1.00,,ST,
8.47,-12.01,160.92,1.03,,ICT,
8.47,39.94,168.09,1.14,,DCT2,
8.47,27.08,156.29,1.03,,DCT2,
8.47,6.97,113.84,1.19,,ST,
8.46,-71.21,75.90,1.20,,ST,
8.46,6.32,297.78,1.01,,FBT,
8.46,-70.89,51.37,1.16,,ICT,
8.45,10.57,260.34,1.13,,ICT,
8.45,-61.92,11.58,1.00,,ICT,
8.45,-5.05,143.95,1.03,,ST,
8.45,-19.10,53.01,1.00,,ST,
8.44,76.81,191.82,,3,DCT2,
8.44,32.28,133.26,1.00,,ST,
8.44,-4.05,191.23,1.14,,ICT,
8.44,-42.58,252.25,1.09,,ICT,
8.44,12.56,134.27,1.13,,ST,
8.44,-39.22,236.66,1.05,,ICT,
8.44,34.49,4.37,1.23,,ICT,
8.43,77.74,182.12,,2 ellipse,DCT1,
8.43,47.55,197.61,1.31,,DCT2,
8.43,-51.50,350.22,1.07,,ICT,
8.42,62.01,197.56,,4,DCT2,
8.42,50.49,345.57,1.02,,ICT,
8.42,37.85,29.99,1.06,,ICT,
8.42,36.95,286.24,,1 ellipse,FBT,
8.42,50.96,148.11,,3,DCT1,
8.42,9.03,51.98,1.00,,ICT,
8.42,-15.18,101.88,1.19,,ST,
8.42,38.22,209.02,1.05,,DCT2,
8.41,-9.65,288.06,1.02,,FBT,
8.41,39.42,165.36,1.10,,DCT2,
8.41,64.64,219.36,,4,DCT2,
8.41,71.84,177.35,,3,DCT1,
8.41,-22.52,256.75,1.02,,ICT,
8.41,53.62,262.15,1.06,,FBT,
8.41,29.26,214.52,1.08,,DCT2,
8.41,67.17,152.16,,3,DCT1,
8.41,-34.39,219.20,1.07,,ICT,
8.41,46.02,357.20,1.22,,ICT,
8.41,-2.41,190.70,1.00,,ICT,
8.41,46.35,174.50,1.07,,DCT2,
8.40,19.79,152.59,1.00,,ICT,
8.40,18.06,52.10,1.02,,ICT,
8.40,-37.54,19.10,1.02,,ICT,
8.40,-38.50,281.56,1.06,,FBT,
8.40,12.62,319.24,1.28,,FBT,
8.40,11.05,264.15,1.04,,ICT,
8.40,-36.65,247.81,1.16,,ICT,
8.39,73.66,124.92,,3 ellipse,DCT1,
8.39,-26.07,291.15,1.00,,FBT,
8.39,41.30,179.77,1.00,,DCT2,
8.39,8.77,199.39,1.00,,ICT,
8.39,9.29,197.50,1.00,,ICT,
8.39,16.41,35.17,1.00,,ICT,
8.39,38.12,202.42,1.12,,DCT2,
8.38,3.89,144.69,1.00,,ST,
8.38,-28.15,248.83,1.38,,ICT,
8.38,-40.48,329.64,1.00,,FBT,
8.38,7.82,246.52,1.29,,FBT,
8.38,39.07,167.24,1.05,,DCT2,
8.37,62.48,110.11,,3,ST,
8.37,-60.94,88.69,1.05,,ET,
8.37,23.07,113.16,1.08,,ST,
8.37,-52.19,308.54,1.09,,FBT,
8.37,18.89,258.55,1.09,,ICT,
8.37,-26.54,35.27,1.20,,ICT,
8.37,20.35,103.00,1.18,,ST,
8.36,-14.63,47.75,1.16,,ICT,
8.36,-27.24,166.03,1.02,,ICT,
8.36,-9.02,67.19,1.16,,ST,
8.36,12.23,260.38,1.12,,ICT,
8.36,-32.48,69.59,1.06,,ST,
