OID_,Shape_Length,Shape_Area
600,19.803191134343173,31.207608874372418
601,24.816239956719961,49.007448887891137
602,32.205179216830793,82.535650126620197
603,20.431539791519736,33.219441878902614
604,16.852834766778727,22.601437470880242
605,20.872181614431781,34.667763566357316
606,20.713367446692089,34.142204153316129
607,20.570329842696744,33.672289543476779
609,31.608080706296132,79.503525448638683
610,20.431539791519736,33.219441878902614
611,24.468238850608476,47.642611444733099
612,25.982709262325780,53.722844990671703
613,18.309634333523853,26.677767170441779
614,21.586178936281154,37.080167008341114
615,24.818188889217964,49.015146747071512
616,25.348287552695780,51.131364940004850
617,22.612852765273534,40.691232645935685
618,27.346688629550595,59.511326058381435
620,17.415183575697405,24.134941446711977
622,37.438810836794353,111.540921391546021
623,38.020867881403724,115.036110171964367
624,23.270927445423983,43.094070737607566
625,25.666804206593625,52.424431715139832
626,23.177018179261818,42.746962362229063
627,22.783992817753660,41.309487412879605
628,25.089018866553605,50.090745132649609
629,29.736865171063922,70.368858068820273
630,26.400145423423151,55.462925594561781
632,63.974190795707301,325.686486063762288
633,32.000807476539620,81.491443359183165
634,22.045016018635220,38.673276968814470
635,36.762764627437576,107.549021473874120
636,20.033737083717355,31.938467665508924
637,25.166382920086967,50.400139285780796
638,21.060349163611207,35.295656996332966
639,25.840132035340556,53.134866390209794
640,26.083259847886982,54.139454037349132
641,39.738298262911293,125.663359556471832
642,27.627440294129336,60.739530977505297
643,17.009510557907880,23.023628563762031
644,32.247450001965092,82.752456022662713
645,27.091103596345924,58.404126106969350
646,46.713871962959480,173.652831094943252
647,29.545729497161616,69.467164252019984
648,33.115539954517473,87.267757742728875
649,31.141012777780713,77.171261821435237
650,27.618573195087638,60.700548212449171
651,59.285373306524114,279.695354844757560
652,31.357957960286935,78.250240870304594
653,28.450823328904857,64.413932465721345
654,37.088671943374017,109.464349631022472
655,20.313323525637752,32.836140626453300
656,22.186040343137254,39.169653769790131
657,26.718549443420059,56.808835762392235
658,28.247968748940220,63.498663450950190
659,32.530946548941344,84.213852658526363
660,22.542409288197103,40.438105170631950
661,23.958707378024574,45.679033098856408
662,31.346577826374393,78.193455499565914
663,66.126520747254744,347.969742444214944
664,30.153831085470774,72.356096842482899
665,20.627061373621292,33.858277299649480
666,36.214783526222313,104.366693144679616
667,26.729480954109928,56.855330309909043
668,27.920535685440267,62.035120313192934
669,24.455163284075788,47.591705640722623
670,23.828145700413781,45.182538773077724
671,28.894560673332087,66.438883757802103
675,28.521328225422511,64.733580498792719
